,Wins,Score
0,-1,0
1,-1,0
2,1,15
3,-1,7
4,1,15
5,1,15
6,-1,0
7,-1,0
8,1,15
9,1,15
10,1,15
11,-1,9
12,-1,0
13,-1,0
14,1,15
15,1,15
16,1,15
17,-1,13
18,-1,0
19,-1,0
20,1,15
21,1,15
22,1,15
23,1,15
24,-1,0
25,-1,0
26,1,15
27,-1,7
28,1,15
29,1,15
30,-1,0
31,-1,0
32,1,15
33,1,15
34,1,15
35,-1,9
36,-1,0
37,-1,0
38,1,15
39,1,15
40,1,15
41,-1,13
42,-1,0
43,-1,0
44,1,15
45,1,15
46,1,15
47,1,15
48,-1,0
49,-1,0
50,1,15
51,1,15
52,1,15
53,1,15
54,-1,0
55,-1,0
56,1,15
57,-1,13
58,1,15
59,-1,0
60,-1,0
61,1,15
62,1,15
63,1,15
64,1,15
65,-1,0
66,-1,0
67,1,15
68,-1,13
69,-1,11
70,1,15
71,-1,0
72,-1,0
73,-1,10
74,-1,11
75,-1,13
76,1,15
77,-1,0
78,-1,0
79,1,15
80,-1,13
81,1,15
82,1,15
83,1,15
84,1,15
85,1,15
86,-1,1
87,-1,0
88,1,15
89,1,15
90,-1,13
91,1,15
92,-1,0
93,-1,0
94,1,15
95,1,15
96,-1,0
97,1,15
98,-1,0
99,1,15
100,-1,11
101,-1,13
102,-1,0
103,1,15
104,-1,0
105,1,15
106,1,15
107,1,15
108,1,15
109,-1,0
110,-1,0
111,1,15
112,1,15
113,-1,11
114,-1,13
115,-1,0
116,-1,1
117,1,15
118,1,15
119,-1,7
120,1,15
121,-1,13
122,-1,0
123,1,15
124,-1,0
125,1,15
126,1,15
127,1,15
128,-1,0
129,1,15
130,-1,0
131,-1,1
132,1,15
133,-1,0
134,1,15
135,1,15
136,-1,13
137,-1,0
138,1,15
139,-1,1
140,1,15
141,1,15
142,-1,11
143,-1,1
144,1,15
145,-1,0
146,1,15
147,1,15
148,-1,13
149,-1,0
150,1,15
151,-1,1
152,1,15
153,1,15
154,-1,11
155,-1,0
156,1,15
157,-1,0
158,1,15
159,1,15
160,1,15
161,-1,0
162,1,15
163,-1,0
164,1,15
165,1,15
166,1,15
