,Wins,Score
0,-1,7
1,-1,3
2,-1,0
3,-1,3
4,-1,0
5,-1,5
6,-1,8
7,-1,3
8,-1,0
9,-1,3
10,-1,0
11,-1,4
12,-1,2
13,-1,5
14,-1,0
15,-1,6
16,-1,0
17,-1,1
18,-1,6
19,-1,4
20,-1,0
21,-1,0
22,-1,0
23,-1,0
24,-1,7
25,-1,3
26,-1,0
27,-1,3
28,-1,0
29,-1,5
30,-1,8
31,-1,3
32,-1,0
33,-1,3
34,-1,0
35,-1,4
36,-1,2
37,-1,5
38,-1,0
39,-1,6
40,-1,0
41,-1,1
42,-1,6
43,-1,4
44,-1,0
45,-1,0
46,-1,0
47,-1,2
48,-1,2
49,-1,2
50,-1,0
51,-1,7
52,-1,0
53,-1,1
54,-1,6
55,-1,2
56,-1,0
57,-1,6
58,-1,0
59,-1,6
60,-1,1
61,-1,2
62,-1,7
63,-1,0
64,-1,0
65,-1,7
66,-1,3
67,-1,4
68,-1,6
69,-1,0
70,-1,0
71,-1,15
72,-1,2
73,-1,5
74,-1,4
75,-1,0
76,-1,0
77,-1,12
78,-1,3
79,-1,2
80,-1,4
81,-1,0
82,-1,0
83,-1,0
84,-1,3
85,-1,0
86,-1,2
87,-1,9
88,-1,4
89,-1,0
90,-1,7
91,-1,0
92,-1,1
93,-1,5
94,-1,4
95,-1,0
96,-1,7
97,-1,0
98,-1,4
99,-1,0
100,-1,4
101,-1,1
102,-1,4
103,-1,0
104,-1,4
105,-1,0
106,-1,3
107,-1,2
108,-1,5
109,-1,2
110,-1,0
111,-1,0
112,-1,1
113,-1,3
114,-1,7
115,-1,5
116,-1,0
117,-1,0
118,-1,3
119,-1,5
120,-1,0
121,-1,0
122,-1,4
123,-1,2
124,-1,11
125,-1,2
126,-1,0
127,-1,0
128,-1,4
129,-1,1
130,-1,7
131,-1,5
132,-1,6
133,-1,4
134,-1,0
135,-1,0
136,-1,3
137,-1,9
138,-1,2
139,-1,4
140,-1,0
141,-1,0
142,-1,4
143,-1,5
144,-1,6
145,-1,4
146,-1,0
147,-1,0
148,-1,3
149,-1,9
150,-1,2
151,-1,4
152,-1,0
153,-1,0
154,-1,4
155,-1,4
156,-1,1
157,-1,4
158,-1,0
159,-1,0
160,-1,2
161,-1,4
162,-1,4
163,-1,4
164,-1,0
165,-1,0
166,-1,2
